Date,Consensual,Disturbance,Other,Property,Violent,White-Collar
2015-05-24,64.0,8.0,34.0,321.0,239.0,21.0
2015-05-25,69.0,11.0,45.0,314.0,243.0,26.0
2015-05-26,85.0,13.0,53.0,343.0,234.0,39.0
2015-05-27,88.0,13.0,59.0,336.0,205.0,34.0
2015-05-28,80.0,13.0,45.0,376.0,241.0,43.0
2015-05-29,108.0,12.0,57.0,377.0,224.0,47.0
2015-05-30,60.0,7.0,40.0,366.0,210.0,35.0
2015-05-31,67.0,14.0,46.0,305.0,196.0,35.0
2015-06-01,77.0,14.0,79.0,388.0,257.0,115.0
2015-06-02,92.0,11.0,53.0,335.0,234.0,45.0
2015-06-03,92.0,11.0,65.0,349.0,205.0,53.0
2015-06-04,84.0,19.0,46.0,353.0,179.0,39.0
2015-06-05,97.0,11.0,61.0,358.0,203.0,54.0
2015-06-06,92.0,11.0,40.0,365.0,206.0,42.0
2015-06-07,70.0,11.0,54.0,340.0,237.0,26.0
2015-06-08,79.0,10.0,46.0,312.0,193.0,42.0
2015-06-09,86.0,11.0,58.0,336.0,195.0,43.0
2015-06-10,98.0,7.0,54.0,365.0,223.0,40.0
2015-06-11,152.0,10.0,46.0,356.0,199.0,36.0
2015-06-12,85.0,17.0,46.0,390.0,239.0,49.0
2015-06-13,85.0,11.0,50.0,376.0,258.0,31.0
2015-06-14,67.0,11.0,47.0,386.0,251.0,32.0
2015-06-15,21.0,9.0,62.0,376.0,200.0,70.0
2015-06-16,74.0,14.0,61.0,408.0,247.0,43.0
2015-06-17,72.0,11.0,44.0,360.0,205.0,28.0
2015-06-18,63.0,13.0,47.0,389.0,214.0,40.0
2015-06-19,88.0,20.0,44.0,387.0,203.0,33.0
2015-06-20,43.0,11.0,43.0,375.0,253.0,40.0
2015-06-21,47.0,16.0,33.0,335.0,331.0,21.0
2015-06-22,61.0,7.0,50.0,393.0,230.0,39.0
2015-06-23,88.0,15.0,54.0,332.0,205.0,35.0
2015-06-24,77.0,16.0,39.0,368.0,194.0,34.0
2015-06-25,101.0,11.0,49.0,382.0,207.0,33.0
2015-06-26,71.0,13.0,46.0,384.0,211.0,56.0
2015-06-27,60.0,13.0,42.0,357.0,210.0,38.0
2015-06-28,57.0,18.0,51.0,368.0,278.0,24.0
2015-06-29,84.0,16.0,46.0,350.0,208.0,46.0
2015-06-30,91.0,15.0,40.0,357.0,204.0,40.0
2015-07-01,96.0,11.0,64.0,399.0,196.0,101.0
2015-07-02,94.0,10.0,55.0,349.0,190.0,58.0
2015-07-03,79.0,15.0,47.0,377.0,205.0,45.0
2015-07-04,63.0,13.0,43.0,430.0,272.0,24.0
2015-07-05,88.0,12.0,47.0,405.0,322.0,23.0
2015-07-06,65.0,12.0,58.0,350.0,217.0,53.0
2015-07-07,78.0,11.0,41.0,357.0,171.0,41.0
2015-07-08,87.0,6.0,56.0,358.0,163.0,42.0
2015-07-09,87.0,10.0,44.0,337.0,161.0,32.0
2015-07-10,89.0,10.0,55.0,377.0,158.0,49.0
2015-07-11,81.0,23.0,37.0,375.0,251.0,30.0
2015-07-12,86.0,13.0,46.0,360.0,255.0,41.0
2015-07-13,74.0,14.0,61.0,382.0,190.0,58.0
2015-07-14,87.0,19.0,51.0,344.0,179.0,31.0
2015-07-15,85.0,10.0,52.0,396.0,191.0,57.0
2015-07-16,58.0,8.0,53.0,347.0,160.0,43.0
2015-07-17,94.0,11.0,58.0,411.0,202.0,48.0
2015-07-18,62.0,5.0,46.0,360.0,262.0,40.0
2015-07-19,61.0,14.0,40.0,360.0,258.0,29.0
2015-07-20,68.0,6.0,61.0,393.0,207.0,42.0
2015-07-21,83.0,11.0,51.0,374.0,216.0,40.0
2015-07-22,94.0,8.0,56.0,359.0,213.0,41.0
2015-07-23,95.0,11.0,55.0,404.0,206.0,37.0
2015-07-24,92.0,12.0,51.0,451.0,217.0,42.0
2015-07-25,64.0,11.0,54.0,412.0,255.0,35.0
2015-07-26,74.0,6.0,47.0,375.0,276.0,24.0
2015-07-27,71.0,11.0,46.0,431.0,221.0,52.0
2015-07-28,73.0,6.0,44.0,382.0,215.0,45.0
2015-07-29,78.0,11.0,44.0,371.0,211.0,47.0
2015-07-30,85.0,16.0,65.0,369.0,205.0,32.0
2015-07-31,74.0,9.0,41.0,380.0,214.0,58.0
2015-08-01,80.0,12.0,63.0,503.0,273.0,89.0
2015-08-02,78.0,18.0,40.0,383.0,272.0,30.0
2015-08-03,65.0,7.0,62.0,359.0,191.0,45.0
2015-08-04,95.0,16.0,38.0,361.0,208.0,43.0
2015-08-05,103.0,8.0,51.0,368.0,193.0,46.0
2015-08-06,94.0,8.0,61.0,399.0,205.0,40.0
2015-08-07,87.0,10.0,57.0,403.0,239.0,43.0
2015-08-08,71.0,17.0,51.0,415.0,248.0,46.0
2015-08-09,83.0,10.0,50.0,347.0,235.0,19.0
2015-08-10,66.0,10.0,62.0,400.0,224.0,46.0
2015-08-11,96.0,13.0,65.0,361.0,216.0,38.0
2015-08-12,108.0,7.0,51.0,356.0,200.0,36.0
2015-08-13,80.0,13.0,46.0,354.0,237.0,53.0
2015-08-14,82.0,10.0,53.0,415.0,206.0,37.0
2015-08-15,58.0,9.0,47.0,414.0,255.0,37.0
2015-08-16,74.0,11.0,31.0,419.0,304.0,25.0
2015-08-17,63.0,8.0,51.0,364.0,200.0,53.0
2015-08-18,84.0,13.0,47.0,376.0,193.0,47.0
2015-08-19,101.0,12.0,58.0,382.0,195.0,43.0
2015-08-20,138.0,13.0,58.0,406.0,179.0,41.0
2015-08-21,110.0,9.0,50.0,429.0,209.0,50.0
2015-08-22,78.0,10.0,56.0,407.0,253.0,41.0
2015-08-23,84.0,14.0,49.0,367.0,260.0,30.0
2015-08-24,78.0,14.0,53.0,363.0,178.0,38.0
2015-08-25,79.0,7.0,58.0,391.0,182.0,49.0
2015-08-26,90.0,12.0,58.0,400.0,165.0,63.0
2015-08-27,94.0,17.0,56.0,393.0,159.0,44.0
2015-08-28,84.0,8.0,49.0,423.0,182.0,57.0
2015-08-29,78.0,10.0,47.0,359.0,230.0,34.0
2015-08-30,79.0,13.0,57.0,393.0,227.0,30.0
2015-08-31,80.0,14.0,45.0,367.0,191.0,47.0
2015-09-01,95.0,11.0,57.0,410.0,257.0,105.0
2015-09-02,96.0,13.0,57.0,393.0,198.0,41.0
2015-09-03,97.0,15.0,59.0,437.0,225.0,40.0
2015-09-04,84.0,16.0,54.0,395.0,197.0,66.0
2015-09-05,74.0,12.0,31.0,379.0,233.0,32.0
2015-09-06,88.0,14.0,39.0,381.0,271.0,22.0
2015-09-07,95.0,13.0,49.0,371.0,252.0,27.0
2015-09-08,71.0,6.0,52.0,360.0,175.0,51.0
2015-09-09,82.0,11.0,45.0,355.0,176.0,42.0
2015-09-10,68.0,11.0,46.0,342.0,158.0,33.0
2015-09-11,83.0,14.0,46.0,336.0,162.0,47.0
2015-09-12,61.0,15.0,47.0,337.0,217.0,47.0
2015-09-13,69.0,17.0,27.0,359.0,232.0,31.0
