Date,Consensual,Disturbance,Property,Violent,White Collar,Total
2016-02-03,6.0,20.0,419.0,140.0,16.0,601.0
2016-02-04,4.0,13.0,383.0,125.0,21.0,546.0
2016-02-05,6.0,18.0,416.0,182.0,25.0,647.0
2016-02-06,8.0,18.0,343.0,167.0,16.0,552.0
2016-02-07,4.0,18.0,364.0,209.0,10.0,605.0
2016-02-08,6.0,21.0,347.0,172.0,20.0,566.0
2016-02-09,3.0,22.0,379.0,169.0,20.0,593.0
2016-02-10,3.0,17.0,376.0,169.0,16.0,581.0
2016-02-11,9.0,13.0,390.0,132.0,12.0,556.0
2016-02-12,3.0,24.0,356.0,175.0,15.0,573.0
2016-02-13,7.0,12.0,357.0,169.0,8.0,553.0
2016-02-14,4.0,16.0,286.0,213.0,6.0,525.0
2016-02-15,8.0,17.0,345.0,173.0,10.0,553.0
2016-02-16,4.0,25.0,368.0,165.0,19.0,581.0
2016-02-17,3.0,14.0,397.0,144.0,18.0,576.0
2016-02-18,4.0,15.0,383.0,156.0,17.0,575.0
2016-02-19,5.0,19.0,409.0,175.0,13.0,621.0
2016-02-20,4.0,20.0,384.0,181.0,11.0,600.0
2016-02-21,3.0,17.0,359.0,202.0,10.0,591.0
2016-02-22,5.0,18.0,359.0,160.0,19.0,561.0
2016-02-23,3.0,19.0,359.0,150.0,14.0,545.0
2016-02-24,4.0,11.0,389.0,165.0,18.0,587.0
2016-02-25,3.0,14.0,355.0,145.0,19.0,536.0
2016-02-26,3.0,17.0,402.0,190.0,26.0,638.0
2016-02-27,6.0,10.0,364.0,223.0,19.0,622.0
2016-02-28,,23.0,342.0,220.0,9.0,
2016-02-29,2.0,19.0,360.0,156.0,20.0,557.0
2016-03-01,8.0,30.0,513.0,206.0,34.0,791.0
2016-03-02,4.0,17.0,366.0,144.0,15.0,546.0
2016-03-03,6.0,15.0,368.0,128.0,17.0,534.0
2016-03-04,5.0,9.0,400.0,152.0,16.0,582.0
2016-03-05,5.0,11.0,395.0,172.0,8.0,591.0
2016-03-06,5.0,23.0,345.0,176.0,7.0,556.0
2016-03-07,2.0,12.0,387.0,142.0,17.0,560.0
2016-03-08,7.0,16.0,389.0,146.0,26.0,584.0
2016-03-09,7.0,10.0,368.0,155.0,17.0,557.0
2016-03-10,11.0,16.0,401.0,147.0,15.0,590.0
2016-03-11,5.0,18.0,376.0,128.0,19.0,546.0
2016-03-12,9.0,23.0,347.0,179.0,18.0,576.0
2016-03-13,6.0,12.0,319.0,218.0,6.0,561.0
2016-03-14,7.0,23.0,359.0,186.0,24.0,599.0
2016-03-15,6.0,18.0,384.0,161.0,20.0,589.0
2016-03-16,3.0,15.0,401.0,175.0,8.0,602.0
2016-03-17,8.0,26.0,336.0,177.0,22.0,569.0
2016-03-18,4.0,11.0,395.0,167.0,14.0,591.0
2016-03-19,4.0,17.0,380.0,168.0,10.0,579.0
2016-03-20,7.0,16.0,354.0,166.0,5.0,548.0
2016-03-21,4.0,19.0,358.0,152.0,29.0,562.0
2016-03-22,4.0,19.0,373.0,159.0,16.0,571.0
2016-03-23,7.0,11.0,409.0,146.0,17.0,590.0
2016-03-24,8.0,13.0,395.0,167.0,26.0,609.0
