Date Occurred,Consensual,Disturbance,Property,Violent,White Collar
03/13/2017,5.0,19.0,410.0,173.0,20.0
03/14/2015,5.0,14.0,389.0,197.0,14.0
03/14/2016,7.0,23.0,359.0,186.0,24.0
03/14/2017,5.0,22.0,390.0,198.0,11.0
03/15/2015,10.0,15.0,381.0,191.0,9.0
03/15/2016,6.0,18.0,384.0,161.0,20.0
03/15/2017,4.0,19.0,412.0,189.0,20.0
03/16/2015,2.0,26.0,377.0,171.0,10.0
03/16/2016,3.0,15.0,401.0,175.0,8.0
03/16/2017,8.0,21.0,400.0,175.0,10.0
03/17/2015,4.0,20.0,375.0,148.0,17.0
03/17/2016,8.0,26.0,336.0,177.0,22.0
03/17/2017,9.0,22.0,451.0,178.0,20.0
03/18/2015,4.0,21.0,322.0,150.0,14.0
03/18/2016,4.0,11.0,395.0,167.0,14.0
03/18/2017,3.0,19.0,412.0,222.0,12.0
03/19/2015,9.0,28.0,338.0,143.0,12.0
03/19/2016,4.0,17.0,380.0,168.0,10.0
03/19/2017,2.0,12.0,350.0,176.0,4.0
03/20/2015,2.0,23.0,433.0,167.0,14.0
03/20/2016,7.0,16.0,354.0,166.0,5.0
03/20/2017,4.0,18.0,371.0,162.0,24.0
03/21/2015,5.0,16.0,335.0,188.0,12.0
03/21/2016,4.0,19.0,358.0,152.0,29.0
03/21/2017,5.0,23.0,387.0,147.0,14.0
03/22/2015,1.0,11.0,347.0,198.0,6.0
03/22/2016,4.0,19.0,373.0,159.0,16.0
03/22/2017,6.0,16.0,393.0,152.0,16.0
03/23/2015,10.0,11.0,377.0,151.0,12.0
03/23/2016,7.0,11.0,409.0,146.0,17.0
03/23/2017,7.0,17.0,404.0,190.0,21.0
03/24/2015,1.0,17.0,371.0,173.0,11.0
03/24/2016,8.0,13.0,395.0,167.0,26.0
03/24/2017,4.0,16.0,430.0,156.0,19.0
03/25/2015,6.0,22.0,369.0,165.0,13.0
03/25/2016,11.0,16.0,451.0,156.0,18.0
03/25/2017,10.0,14.0,434.0,192.0,18.0
03/26/2015,5.0,16.0,378.0,169.0,13.0
03/26/2016,2.0,18.0,348.0,193.0,10.0
03/26/2017,1.0,20.0,361.0,190.0,6.0
03/27/2015,7.0,23.0,411.0,171.0,16.0
03/27/2016,2.0,9.0,325.0,190.0,6.0
03/27/2017,9.0,18.0,433.0,157.0,15.0
03/28/2015,4.0,9.0,354.0,215.0,13.0
03/28/2016,3.0,11.0,390.0,144.0,19.0
03/28/2017,1.0,18.0,397.0,149.0,17.0
03/29/2015,1.0,9.0,313.0,169.0,7.0
03/29/2016,2.0,19.0,400.0,137.0,25.0
03/29/2017,6.0,18.0,440.0,175.0,17.0
03/30/2015,7.0,18.0,380.0,136.0,17.0
03/30/2016,6.0,17.0,365.0,169.0,18.0
03/30/2017,5.0,22.0,402.0,147.0,17.0
03/31/2015,6.0,22.0,380.0,158.0,11.0
03/31/2016,4.0,10.0,354.0,161.0,34.0
03/31/2017,1.0,15.0,446.0,183.0,23.0
04/01/2015,5.0,34.0,530.0,172.0,31.0
04/01/2016,10.0,32.0,566.0,207.0,36.0
04/01/2017,6.0,33.0,479.0,207.0,24.0
04/02/2015,9.0,15.0,353.0,136.0,13.0
04/02/2016,5.0,20.0,342.0,210.0,19.0
04/02/2017,5.0,18.0,367.0,182.0,11.0
04/03/2015,6.0,14.0,406.0,177.0,23.0
04/03/2016,6.0,14.0,351.0,205.0,11.0
04/03/2017,7.0,15.0,408.0,160.0,22.0
04/04/2015,6.0,15.0,314.0,176.0,11.0
04/04/2016,4.0,24.0,405.0,153.0,23.0
04/04/2017,5.0,22.0,398.0,177.0,23.0
04/05/2015,5.0,11.0,279.0,191.0,14.0
04/05/2016,7.0,21.0,366.0,178.0,17.0
04/05/2017,7.0,12.0,363.0,197.0,18.0
04/06/2015,5.0,22.0,324.0,157.0,10.0
04/06/2016,7.0,13.0,370.0,175.0,16.0
04/06/2017,2.0,16.0,398.0,164.0,18.0
04/07/2015,4.0,20.0,336.0,132.0,16.0
04/07/2016,4.0,14.0,400.0,157.0,21.0
04/07/2017,3.0,21.0,419.0,155.0,18.0
04/08/2015,4.0,22.0,316.0,127.0,20.0
04/08/2016,5.0,23.0,434.0,171.0,24.0
04/08/2017,2.0,22.0,387.0,160.0,10.0
04/09/2015,1.0,12.0,351.0,150.0,17.0
04/09/2016,6.0,12.0,372.0,161.0,11.0
04/09/2017,4.0,11.0,353.0,186.0,11.0
04/10/2015,6.0,22.0,396.0,145.0,15.0
04/10/2016,6.0,22.0,355.0,220.0,12.0
04/10/2017,3.0,18.0,421.0,167.0,22.0
04/11/2015,7.0,8.0,339.0,181.0,10.0
04/11/2016,1.0,22.0,375.0,189.0,22.0
04/11/2017,3.0,20.0,353.0,137.0,12.0
04/12/2015,4.0,17.0,319.0,171.0,4.0
04/12/2016,1.0,16.0,371.0,181.0,30.0
04/12/2017,6.0,22.0,348.0,152.0,20.0
04/13/2015,3.0,27.0,374.0,163.0,15.0
04/13/2016,2.0,18.0,372.0,160.0,23.0
04/13/2017,7.0,14.0,396.0,156.0,22.0
04/14/2015,6.0,22.0,365.0,139.0,22.0
04/14/2016,1.0,14.0,408.0,156.0,29.0
04/14/2017,6.0,12.0,405.0,129.0,16.0
04/15/2015,4.0,26.0,424.0,179.0,17.0
04/15/2016,10.0,22.0,466.0,214.0,16.0
04/15/2017,6.0,13.0,377.0,190.0,16.0
04/16/2015,7.0,12.0,374.0,163.0,11.0
04/16/2016,3.0,12.0,401.0,211.0,14.0
04/16/2017,4.0,17.0,369.0,183.0,10.0
04/17/2015,7.0,19.0,400.0,148.0,16.0
04/17/2016,5.0,22.0,376.0,224.0,13.0
04/17/2017,9.0,33.0,396.0,185.0,21.0
04/18/2015,10.0,14.0,337.0,195.0,18.0
04/18/2016,6.0,26.0,378.0,179.0,22.0
04/18/2017,5.0,26.0,411.0,173.0,18.0
04/19/2015,3.0,14.0,322.0,184.0,7.0
04/19/2016,4.0,14.0,380.0,177.0,16.0
04/19/2017,4.0,14.0,379.0,179.0,19.0
04/20/2015,3.0,23.0,361.0,157.0,18.0
04/20/2016,12.0,25.0,379.0,183.0,18.0
04/20/2017,6.0,22.0,390.0,146.0,13.0
04/21/2015,1.0,14.0,360.0,135.0,16.0
04/21/2016,3.0,17.0,363.0,146.0,25.0
