Date,Temp. (¡F),Events
12/23/15,50,"Fog , Rain , Thunderstorm"
12/24/15,38,Clear
12/25/15,38,Clear
12/26/15,40,"Fog , Rain"
12/27/15,38,"Rain , Snow"
12/28/15,35,"Rain , Snow"
12/29/15,34,Snow
12/30/15,28,"Fog , Snow"
12/31/15,25,Snow
1/1/16,25,Snow
1/2/16,26,Clear
1/3/16,26,Snow
1/4/16,27,Snow
1/5/16,25,Clear
1/6/16,29,Clear
1/7/16,38,Clear
1/8/16,39,Rain
1/9/16,32,"Fog , Rain , Snow"
1/10/16,13,Snow
1/11/16,12,Snow
1/12/16,12,Snow
1/13/16,12,Snow
1/14/16,34,Clear
1/15/16,37,Rain
1/16/16,20,Clear
1/17/16,4,Clear
1/18/16,2,Clear
1/19/16,9,Clear
1/20/16,18,Snow
1/21/16,19,Clear
1/22/16,25,Snow
1/23/16,27,Snow
1/24/16,29,Clear
1/25/16,33,Rain
1/26/16,30,"Rain , Snow"
1/27/16,29,Snow
1/28/16,34,Clear
1/29/16,28,Snow
1/30/16,41,Rain
1/31/16,41,Rain
2/1/16,38,Clear
2/2/16,35,"Fog , Rain , Thunderstorm"
2/3/16,33,"Fog , Rain , Snow"
2/4/16,26,Clear
2/5/16,30,Clear
2/6/16,32,Clear
2/7/16,38,Clear
2/8/16,26,Snow
2/9/16,17,Snow
2/10/16,14,Clear
2/11/16,14,Clear
2/12/16,15,Snow
2/13/16,10,Clear
2/14/16,14,"Fog , Snow"
2/15/16,23,Snow
2/16/16,29,Snow
2/17/16,28,Clear
2/18/16,33,Clear
2/19/16,52,Clear
2/20/16,48,Clear
2/21/16,35,Clear
2/22/16,35,Clear
2/23/16,36,Clear
2/24/16,34,"Fog , Snow"
2/25/16,34,Snow
2/26/16,29,Clear
2/27/16,41,Clear
2/28/16,49,Rain
2/29/16,40,Rain
3/1/16,24,"Fog , Rain , Snow"
3/2/16,22,Snow
3/3/16,30,Snow
3/4/16,30,Snow
3/5/16,34,Clear
3/6/16,43,Clear
3/7/16,54,Rain
3/8/16,64,Rain
3/9/16,56,Rain
3/10/16,44,Clear
3/11/16,45,Clear
3/12/16,46,Rain
3/13/16,46,Rain
3/14/16,49,Rain
3/15/16,52,"Rain , Thunderstorm"
3/16/16,51,"Rain , Thunderstorm"
3/17/16,48,Clear
3/18/16,41,Clear
3/19/16,41,Clear
3/20/16,37,Clear
3/21/16,39,Clear
3/22/16,52,Clear
3/23/16,39,Rain
3/24/16,35,"Rain , Snow"
3/25/16,38,Clear
3/26/16,43,Clear
3/27/16,50,Rain
3/28/16,44,Clear
3/29/16,45,Clear
3/30/16,52,"Rain , Thunderstorm"
3/31/16,56,"Rain , Thunderstorm"
4/1/16,42,Rain
4/2/16,34,"Fog , Snow"
4/3/16,49,Clear
4/4/16,34,Snow
4/5/16,35,Rain
4/6/16,45,"Rain , Thunderstorm"
4/7/16,37,"Rain , Snow"
4/8/16,34,"Fog , Rain , Snow"
4/9/16,30,Clear
4/10/16,42,"Rain , Snow"
4/11/16,44,Clear
4/12/16,39,Clear
4/13/16,45,Clear
4/14/16,49,Clear
4/15/16,55,Clear
4/16/16,59,Clear
4/17/16,62,Clear
4/18/16,66,Clear
4/19/16,52,Clear
4/20/16,61,Rain
4/21/16,60,Rain
4/22/16,48,Clear
4/23/16,49,Clear
4/24/16,60,Clear
4/25/16,71,"Rain , Hail , Thunderstorm"
4/26/16,55,Clear
4/27/16,45,Rain
4/28/16,46,"Rain , Thunderstorm"
4/29/16,46,Rain
4/30/16,46,Rain
5/1/16,46,"Rain , Thunderstorm"
5/2/16,51,Clear
5/3/16,54,Rain
5/4/16,50,Rain
5/5/16,51,Clear
5/6/16,62,Clear
5/7/16,57,"Rain , Thunderstorm"
5/8/16,56,Clear
5/9/16,54,Rain
5/10/16,57,Rain
5/11/16,60,"Fog , Rain , Thunderstorm"
5/12/16,62,"Rain , Thunderstorm"
5/13/16,55,Rain
5/14/16,44,Rain
5/15/16,45,Clear
5/16/16,58,Rain
5/17/16,51,Rain
5/18/16,53,Clear
5/19/16,54,Clear
5/20/16,56,Clear
5/21/16,64,Clear
5/22/16,65,Clear
5/23/16,65,Clear
5/24/16,73,Clear
5/25/16,75,"Rain , Thunderstorm"
5/26/16,73,Clear
5/27/16,74,"Rain , Thunderstorm"
5/28/16,73,Thunderstorm
5/29/16,71,Clear
5/30/16,75,Clear
5/31/16,73,"Rain , Thunderstorm"
6/1/16,71,Rain
6/2/16,68,Clear
6/3/16,70,Clear
6/4/16,67,Rain
6/5/16,70,Rain
6/6/16,71,Clear
6/7/16,59,Clear
6/8/16,61,Clear
6/9/16,63,Rain
6/10/16,77,"Fog , Rain , Thunderstorm"
6/11/16,81,Clear
6/12/16,69,Clear
6/13/16,70,Clear
6/14/16,76,Clear
6/15/16,79,"Rain , Thunderstorm"
6/16/16,70,Clear
6/17/16,73,Clear
6/18/16,73,Clear
6/19/16,76,Clear
6/20/16,82,Rain
6/21/16,74,Clear
6/22/16,72,"Fog , Rain , Thunderstorm"
6/23/16,71,Fog
6/24/16,72,Clear
6/25/16,77,Clear
6/26/16,81,Rain
6/27/16,80,Clear
6/28/16,64,Clear
6/29/16,68,Clear
6/30/16,68,Clear
7/1/16,66,Clear
7/2/16,65,Clear
7/3/16,66,Clear
7/4/16,73,Clear
7/5/16,77,Clear
7/6/16,78,"Rain , Thunderstorm"
7/7/16,77,Rain
7/8/16,77,Fog
7/9/16,72,Clear
7/10/16,71,Clear
7/11/16,80,Clear
7/12/16,81,Clear
7/13/16,76,"Rain , Thunderstorm"
7/14/16,78,Clear
7/15/16,68,Rain
7/16/16,67,Clear
7/17/16,72,"Rain , Thunderstorm"
7/18/16,80,Clear
7/19/16,80,Clear
7/20/16,79,Clear
7/21/16,82,"Rain , Thunderstorm"
7/22/16,81,Rain
7/23/16,81,"Rain , Thunderstorm"
7/24/16,82,"Rain , Thunderstorm"
7/25/16,81,Clear
7/26/16,79,Clear
7/27/16,79,Clear
7/28/16,77,"Rain , Thunderstorm"
7/29/16,76,"Rain , Thunderstorm"
7/30/16,73,Clear
7/31/16,73,Clear
8/1/16,75,Clear
8/2/16,77,Clear
8/3/16,80,Clear
8/4/16,81,Rain
8/5/16,79,Rain
8/6/16,75,Clear
8/7/16,73,Clear
8/8/16,78,Clear
8/9/16,78,Clear
8/10/16,79,Clear
8/11/16,83,Clear
8/12/16,79,"Rain , Thunderstorm"
8/13/16,78,Clear
8/14/16,76,Clear
8/15/16,73,Clear
8/16/16,80,Rain
8/17/16,79,Clear
8/18/16,78,"Rain , Thunderstorm"
8/19/16,75,"Rain , Thunderstorm"
8/20/16,72,"Rain , Thunderstorm"
8/21/16,67,Clear
8/22/16,67,Clear
8/23/16,71,Clear
8/24/16,77,Rain
8/25/16,76,"Rain , Thunderstorm"
8/26/16,74,"Rain , Thunderstorm"
8/27/16,76,Rain
8/28/16,77,Thunderstorm
8/29/16,78,"Rain , Thunderstorm"
8/30/16,77,"Rain , Thunderstorm"
8/31/16,70,Clear
9/1/16,68,Clear
9/2/16,68,Clear
9/3/16,66,Clear
9/4/16,70,Clear
9/5/16,75,Clear
9/6/16,83,Clear
9/7/16,82,"Rain , Thunderstorm"
9/8/16,76,Rain
9/9/16,72,Clear
9/10/16,66,Rain
9/11/16,64,Clear
9/12/16,67,Clear
9/13/16,75,Rain
9/14/16,69,Rain
9/15/16,69,Clear
9/16/16,74,Clear
9/17/16,74,Rain
