Date,Temp (F) avg,Event,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-04-15,69,Clear,4.0,26.0,424.0,179.0,17.0,650.0
2015-04-16,68,Clear,7.0,12.0,374.0,163.0,11.0,567.0
2015-04-17,69,Clear,7.0,19.0,400.0,148.0,16.0,590.0
2015-04-18,69,Clear,10.0,14.0,337.0,195.0,18.0,574.0
2015-04-19,65,Clear,3.0,14.0,322.0,184.0,7.0,530.0
2015-04-20,63,Clear,3.0,23.0,361.0,157.0,18.0,562.0
2015-04-21,63,Clear,1.0,14.0,360.0,135.0,16.0,526.0
2015-04-22,63,Clear,5.0,16.0,387.0,141.0,20.0,569.0
2015-04-23,62,Clear,3.0,20.0,356.0,146.0,10.0,535.0
2015-04-24,62,Clear,5.0,10.0,382.0,128.0,18.0,543.0
2015-04-25,61,Clear,3.0,13.0,367.0,156.0,8.0,547.0
2015-04-26,66,Clear,11.0,21.0,351.0,159.0,6.0,548.0
2015-04-27,70,Clear,,11.0,375.0,142.0,7.0,
2015-04-28,77,Clear,3.0,27.0,365.0,150.0,20.0,565.0
2015-04-29,75,Clear,5.0,14.0,348.0,169.0,12.0,548.0
2015-04-30,73,Clear,8.0,17.0,348.0,175.0,20.0,568.0
2015-05-01,71,Clear,5.0,34.0,530.0,233.0,30.0,832.0
2015-05-02,70,Clear,3.0,14.0,363.0,215.0,15.0,610.0
2015-05-03,66,Clear,7.0,11.0,334.0,181.0,3.0,536.0
2015-05-04,63,Clear,2.0,24.0,343.0,148.0,18.0,535.0
2015-05-05,63,Clear,4.0,17.0,385.0,136.0,20.0,562.0
2015-05-06,63,Clear,7.0,16.0,330.0,140.0,15.0,508.0
2015-05-07,60,Rain,9.0,14.0,379.0,115.0,10.0,527.0
2015-05-08,57,Rain,4.0,27.0,361.0,135.0,19.0,546.0
2015-05-09,62,Clear,5.0,16.0,338.0,178.0,7.0,544.0
2015-05-10,63,Clear,10.0,18.0,318.0,168.0,11.0,525.0
2015-05-11,67,Clear,2.0,19.0,390.0,151.0,21.0,583.0
2015-05-12,65,Clear,4.0,25.0,376.0,156.0,10.0,571.0
2015-05-13,64,Clear,2.0,22.0,345.0,151.0,7.0,527.0
2015-05-14,61,Rain,3.0,21.0,361.0,135.0,13.0,533.0
2015-05-15,61,Rain,9.0,21.0,431.0,198.0,24.0,683.0
2015-05-16,64,Clear,2.0,22.0,337.0,180.0,10.0,551.0
2015-05-17,65,Clear,5.0,12.0,307.0,182.0,9.0,515.0
2015-05-18,66,Clear,1.0,11.0,370.0,158.0,13.0,553.0
2015-05-19,65,Clear,5.0,14.0,405.0,157.0,19.0,600.0
2015-05-20,65,Clear,5.0,12.0,394.0,160.0,20.0,591.0
2015-05-21,64,Clear,5.0,21.0,403.0,150.0,23.0,602.0
2015-05-22,63,Clear,12.0,23.0,394.0,139.0,18.0,586.0
2015-05-23,64,Clear,6.0,20.0,345.0,124.0,12.0,507.0
2015-05-24,64,Clear,9.0,19.0,353.0,186.0,9.0,576.0
2015-05-25,64,Clear,5.0,16.0,333.0,169.0,11.0,534.0
2015-05-26,64,Clear,2.0,26.0,332.0,167.0,18.0,545.0
2015-05-27,65,Clear,4.0,19.0,354.0,145.0,12.0,534.0
2015-05-28,66,Clear,1.0,18.0,377.0,144.0,17.0,557.0
2015-05-29,68,Clear,8.0,22.0,417.0,152.0,17.0,616.0
2015-05-30,68,Clear,8.0,17.0,386.0,195.0,13.0,619.0
2015-05-31,66,Clear,3.0,16.0,354.0,176.0,3.0,552.0
2015-06-01,67,Clear,5.0,39.0,542.0,236.0,37.0,859.0
2015-06-02,68,Clear,5.0,14.0,351.0,169.0,21.0,560.0
2015-06-03,68,Rain,5.0,17.0,335.0,143.0,22.0,522.0
2015-06-04,66,Clear,4.0,10.0,343.0,165.0,22.0,544.0
2015-06-05,67,Clear,7.0,17.0,375.0,164.0,18.0,581.0
2015-06-06,65,Clear,9.0,21.0,355.0,176.0,7.0,568.0
2015-06-07,69,Clear,2.0,7.0,283.0,206.0,6.0,504.0
2015-06-08,73,Clear,3.0,18.0,352.0,161.0,18.0,552.0
2015-06-09,74,Rain,4.0,14.0,371.0,138.0,18.0,545.0
2015-06-10,68,Clear,7.0,14.0,363.0,158.0,16.0,558.0
2015-06-11,69,Clear,8.0,23.0,412.0,156.0,16.0,615.0
2015-06-12,68,Clear,7.0,18.0,401.0,171.0,21.0,618.0
2015-06-13,68,Clear,5.0,18.0,346.0,161.0,12.0,542.0
2015-06-14,70,Clear,11.0,21.0,289.0,174.0,11.0,506.0
2015-06-15,70,Clear,4.0,24.0,436.0,170.0,16.0,650.0
2015-06-16,70,Clear,2.0,16.0,319.0,151.0,9.0,497.0
2015-06-17,70,Clear,2.0,18.0,375.0,160.0,19.0,574.0
2015-06-18,72,Clear,6.0,16.0,402.0,139.0,10.0,573.0
2015-06-19,70,Clear,7.0,18.0,381.0,177.0,9.0,592.0
2015-06-20,74,Clear,4.0,23.0,376.0,195.0,8.0,606.0
2015-06-21,73,Clear,7.0,23.0,298.0,204.0,11.0,543.0
2015-06-22,73,Clear,1.0,20.0,337.0,183.0,24.0,565.0
2015-06-23,74,Clear,5.0,24.0,354.0,155.0,13.0,551.0
2015-06-24,73,Clear,4.0,20.0,364.0,153.0,19.0,560.0
2015-06-25,72,Clear,6.0,16.0,332.0,155.0,19.0,528.0
2015-06-26,69,Clear,6.0,20.0,433.0,179.0,11.0,649.0
2015-06-27,70,Clear,3.0,21.0,370.0,190.0,12.0,596.0
2015-06-28,77,Clear,3.0,14.0,330.0,211.0,4.0,562.0
2015-06-29,80,Clear,7.0,25.0,385.0,164.0,12.0,593.0
2015-06-30,78,Rain,5.0,16.0,366.0,156.0,10.0,553.0
2015-07-01,76,Clear,8.0,23.0,529.0,212.0,20.0,792.0
2015-07-02,74,Clear,1.0,14.0,340.0,169.0,12.0,536.0
2015-07-03,72,Clear,4.0,22.0,408.0,175.0,22.0,631.0
2015-07-04,71,Clear,4.0,19.0,334.0,229.0,8.0,594.0
2015-07-05,70,Clear,3.0,22.0,330.0,176.0,11.0,542.0
2015-07-06,70,Clear,2.0,17.0,400.0,160.0,18.0,597.0
2015-07-07,71,Clear,3.0,13.0,355.0,143.0,14.0,528.0
2015-07-08,71,Clear,5.0,17.0,381.0,159.0,20.0,582.0
2015-07-09,70,Clear,6.0,20.0,369.0,146.0,11.0,552.0
2015-07-10,69,Clear,4.0,16.0,352.0,167.0,23.0,562.0
2015-07-11,71,Clear,5.0,13.0,327.0,193.0,11.0,549.0
2015-07-12,72,Clear,8.0,22.0,323.0,166.0,8.0,527.0
2015-07-13,74,Clear,4.0,15.0,410.0,151.0,16.0,596.0
2015-07-14,74,Clear,6.0,14.0,356.0,150.0,19.0,545.0
