Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-06-15,21,9.0,62,376,200,70,738.0,74,"Fog , Rain , Thunderstorm"
2015-06-16,74,14.0,61,408,247,43,847.0,64,Clear
2015-06-17,72,11.0,44,360,205,28,720.0,64,Rain
2015-06-18,63,13.0,47,389,214,40,766.0,69,"Fog , Rain , Thunderstorm"
2015-06-19,88,20.0,44,387,203,33,775.0,61,Clear
2015-06-20,43,11.0,43,375,253,40,765.0,66,"Rain , Thunderstorm"
2015-06-21,47,16.0,33,335,331,21,783.0,76,Clear
2015-06-22,61,7.0,50,393,230,39,780.0,75,"Rain , Thunderstorm"
2015-06-23,88,15.0,54,332,205,35,729.0,73,Clear
2015-06-24,77,16.0,39,368,194,34,728.0,70,Clear
2015-06-25,101,11.0,49,382,207,33,783.0,70,"Rain , Thunderstorm"
2015-06-26,71,13.0,46,384,211,56,781.0,63,Rain
2015-06-27,60,13.0,42,357,210,38,720.0,66,Clear
2015-06-28,57,18.0,51,368,278,24,796.0,67,Rain
2015-06-29,84,16.0,46,350,208,46,750.0,70,"Rain , Thunderstorm"
2015-06-30,91,15.0,40,357,204,40,747.0,67,Rain
2015-07-01,96,11.0,64,399,196,101,867.0,62,Clear
2015-07-02,94,10.0,55,349,190,58,756.0,61,Clear
2015-07-03,79,15.0,47,377,205,45,768.0,66,Clear
2015-07-04,63,13.0,43,430,272,24,845.0,70,Clear
2015-07-05,88,12.0,47,405,322,23,897.0,72,Clear
2015-07-06,65,12.0,58,350,217,53,755.0,75,"Rain , Thunderstorm"
2015-07-07,78,11.0,41,357,171,41,699.0,63,Rain
2015-07-08,87,6.0,56,358,163,42,712.0,61,Rain
2015-07-09,87,10.0,44,337,161,32,671.0,68,Rain
2015-07-10,89,10.0,55,377,158,49,738.0,71,Clear
2015-07-11,81,23.0,37,375,251,30,797.0,70,Rain
2015-07-12,86,13.0,46,360,255,41,801.0,76,Clear
2015-07-13,74,14.0,61,382,190,58,779.0,77,"Rain , Thunderstorm"
2015-07-14,87,19.0,51,344,179,31,711.0,72,Clear
2015-07-15,85,10.0,52,396,191,57,791.0,67,Clear
2015-07-16,58,8.0,53,347,160,43,669.0,67,"Rain , Thunderstorm"
2015-07-17,94,11.0,58,411,202,48,824.0,82,"Rain , Thunderstorm"
2015-07-18,62,5.0,46,360,262,40,775.0,81,"Rain , Thunderstorm"
2015-07-19,61,14.0,40,360,258,29,762.0,75,Clear
2015-07-20,68,6.0,61,393,207,42,777.0,74,Clear
2015-07-21,83,11.0,51,374,216,40,775.0,74,Clear
2015-07-22,94,8.0,56,359,213,41,771.0,74,Clear
2015-07-23,95,11.0,55,404,206,37,808.0,74,Clear
2015-07-24,92,12.0,51,451,217,42,865.0,74,Clear
2015-07-25,64,11.0,54,412,255,35,831.0,80,Clear
2015-07-26,74,6.0,47,375,276,24,802.0,72,Rain
2015-07-27,71,11.0,46,431,221,52,832.0,78,Clear
2015-07-28,73,6.0,44,382,215,45,765.0,79,Clear
2015-07-29,78,11.0,44,371,211,47,762.0,79,Rain
2015-07-30,85,16.0,65,369,205,32,772.0,77,Clear
2015-07-31,74,9.0,41,380,214,58,776.0,77,Clear
2015-08-01,80,12.0,63,503,273,89,1020.0,76,Clear
2015-08-02,78,18.0,40,383,272,30,821.0,79,"Rain , Thunderstorm"
2015-08-03,65,7.0,62,359,191,45,729.0,75,Clear
2015-08-04,95,16.0,38,361,208,43,761.0,72,Clear
2015-08-05,103,8.0,51,368,193,46,769.0,72,Clear
2015-08-06,94,8.0,61,399,205,40,807.0,74,Clear
2015-08-07,87,10.0,57,403,239,43,839.0,73,Clear
2015-08-08,71,17.0,51,415,248,46,848.0,75,Clear
2015-08-09,83,10.0,50,347,235,19,744.0,74,Rain
2015-08-10,66,10.0,62,400,224,46,808.0,76,Rain
2015-08-11,96,13.0,65,361,216,38,789.0,74,Clear
2015-08-12,108,7.0,51,356,200,36,758.0,71,Clear
2015-08-13,80,13.0,46,354,237,53,783.0,75,Clear
2015-08-14,82,10.0,53,415,206,37,803.0,79,"Rain , Thunderstorm"
2015-08-15,58,9.0,47,414,255,37,820.0,80,"Rain , Thunderstorm"
2015-08-16,74,11.0,31,419,304,25,864.0,80,Clear
2015-08-17,63,8.0,51,364,200,53,739.0,78,"Rain , Thunderstorm"
2015-08-18,84,13.0,47,376,193,47,760.0,75,"Rain , Thunderstorm"
